id_1,HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
589,2120050850,1984,0,0,0
590,2120050860,1984,0.1647,0.009,0.0531
591,2120050870,1984,0.2214,0.0162,0.0378
592,2120050880,1984,0.1323,0.0072,0.6624
593,2120310690,1984,0.1359,0.009,0.4464
594,2120310700,1984,0.054,0.0414,0.1539
595,2120308250,1984,0.0027,0.0018,0.0063
596,2120308380,1984,0,0.0027,0
597,2121085510,1984,0.0018,0,0
598,2121085390,1984,0.1449,0.018,0
599,2121085190,1984,0.3672,0.2547,0.4833
600,2120050890,1984,0.0846,0.0135,0.4824
601,2120050900,1984,0.0864,0.0342,0.117
